Fecha y Hora,Generación turbina kW,"Velocidad de viento en 110.0 metros [mean,m/s]","Dirección del viento en 108.0 metros [mean,grados]","Dirección del viento en 20.0 metros [mean,grados]","Radiación Solar Global Horizontal [mean,W/m2]","Presión Atmosférica [mean,hPa]","Temperatura en 108.0 metros [mean,C]","Humedad Relativa en 108.0 metros [mean,%]",Dia Juliano
2024-01-08 00:00:00,0.0,1.415017,148.2,184.93,0.0,749.9720500000001,17.23,23.34,738893.0
2024-01-08 01:00:00,0.0,1.0681381666666667,248.41666666666666,4.6433333333333335,0.0,749.8945166666666,16.06,24.843333333333334,738893.0
2024-01-08 02:00:00,24.545454545454547,0.6615149833333333,323.8,17.651,0.0,749.5841999999999,14.975,26.51,738893.0
2024-01-08 03:00:00,130.0,0.6030331666666667,323.8,20.23,0.0,749.4381,15.221666666666666,24.298333333333332,738893.0
2024-01-08 04:00:00,47.57575757575758,0.7911736833333333,323.76666666666665,20.015,0.0,749.6484,15.498333333333333,21.688333333333333,738893.0
2024-01-08 05:00:00,15.151515151515152,0.5631381999999999,323.73333333333335,20.025000000000002,0.0,749.8733333333333,15.263333333333334,20.646666666666665,738893.0
2024-01-08 06:00:00,17.272727272727273,1.4376298333333333,332.76666666666665,22.826666666666664,68.8965905,750.4587166666666,16.286666666666665,17.343333333333334,738893.0
2024-01-08 07:00:00,52.42424242424242,0.4632884,356.5333333333333,77.77833333333334,301.20279999999997,751.41325,19.046666666666667,11.993333333333334,738893.0
2024-01-08 08:00:00,29.696969696969695,1.3061615333333334,194.73333333333335,189.33333333333334,596.3903333333334,752.28965,19.44333333333333,12.31,738893.0
2024-01-08 09:00:00,0.0,3.1354116666666667,189.5,200.04999999999998,842.8173833333334,752.6117833333333,19.98,12.0,738893.0
2024-01-08 10:00:00,0.0,4.9370695,191.91666666666666,198.63333333333333,1019.7909833333333,752.7425,20.773333333333333,12.743333333333332,738893.0
2024-01-08 11:00:00,102.72727272727273,6.181557833333334,196.35,199.0666666666667,1157.3105,752.7918666666666,21.271666666666665,13.871666666666668,738893.0
2024-01-08 12:00:00,351.2121212121212,6.9625965,195.86666666666667,202.9,1220.5215,752.4515166666666,21.883333333333336,14.525,738893.0
2024-01-08 13:00:00,451.8181818181818,7.651360166666667,194.86666666666667,202.58333333333334,1109.7049333333334,752.4849,21.863333333333333,19.099999999999998,738893.0
2024-01-08 14:00:00,452.72727272727275,8.235589166666665,196.8166666666667,201.46666666666667,1083.3124833333334,752.4226666666667,21.58666666666667,20.131666666666668,738893.0
2024-01-08 15:00:00,452.42424242424244,8.08054,195.29999999999998,200.51666666666665,964.7088666666667,752.2401,21.268333333333334,21.186666666666667,738893.0
2024-01-08 16:00:00,452.42424242424244,7.894728333333333,193.16666666666666,201.11666666666667,762.1332833333332,751.991,20.663333333333334,23.875,738893.0
2024-01-08 17:00:00,452.42424242424244,8.665442166666667,182.33333333333334,191.61666666666667,504.3405,751.5768333333334,20.078333333333333,27.433333333333334,738893.0
2024-01-08 18:00:00,452.72727272727275,8.863724666666668,179.45000000000002,189.01666666666665,235.07453333333333,751.1747666666666,19.228333333333335,29.5,738893.0
2024-01-08 19:00:00,692.1212121212121,7.2864415,172.15,180.48333333333335,39.392957833333334,750.8184166666666,17.291666666666668,35.615,738893.0
