,Fecha y Hora,Generación turbina kW,pitch_angle,rotor_speed,Velocidad Real,Velocidad Predicha
6,2024-01-08 06:00:00,17.272727272727273,85.35164853263109,-0.01473819221077144,1.437629833333333,1.328605890274048
7,2024-01-08 07:00:00,52.42424242424242,84.72708709503407,0.09600388138987076,0.4632884,1.734246253967285
8,2024-01-08 08:00:00,29.696969696969692,84.16585828459388,0.09022609598947201,1.306161533333333,1.881243228912354
9,2024-01-08 09:00:00,0.0,2.3857286779880935,1.1609831727830877,3.135411666666667,2.397022724151611
10,2024-01-08 10:00:00,0.0,4.730584870258701,1.7545933098808102,4.9370695,4.169846534729004
11,2024-01-08 11:00:00,102.72727272727272,-8.015243799854968,1.8687396551217583,6.181557833333334,5.78614616394043
12,2024-01-08 12:00:00,351.2121212121212,-9.199747917787285,1.9408434727388848,6.9625965,7.045797824859619
13,2024-01-08 13:00:00,451.8181818181818,-8.664074471049409,1.925674928895631,7.651360166666667,7.734524726867676
14,2024-01-08 14:00:00,452.7272727272728,-8.709120348036844,1.8894985627630942,8.235589166666665,8.094782829284668
15,2024-01-08 15:00:00,452.4242424242424,-9.27005128885772,1.8235144970907529,8.08054,8.649236679077148
16,2024-01-08 16:00:00,452.4242424242424,-8.853070323378352,1.851125866756149,7.894728333333333,8.317700386047363
17,2024-01-08 17:00:00,452.4242424242424,-8.133231862297963,1.839431751859184,8.665442166666667,8.00897216796875
18,2024-01-08 18:00:00,452.7272727272728,-9.1801772342763,1.748617234819807,8.863724666666668,8.429315567016602
19,2024-01-08 19:00:00,692.1212121212121,-9.222170038758277,1.79071004382365,7.2864415,7.992542266845703
20,2024-01-08 20:00:00,423.030303030303,-9.406831465651255,1.7680069535021483,5.696884333333333,5.959321975708008
21,2024-01-08 21:00:00,7.272727272727272,-9.372106981916343,1.3371215768259517,3.894482833333333,5.040859222412109
22,2024-01-08 22:00:00,0.0,-0.4739078863337849,0.7710248145833689,3.1022785,3.735057592391968
23,2024-01-08 23:00:00,0.0,85.1895527532812,0.17173288449201213,2.763535666666666,2.347932815551758
24,2024-01-09 00:00:00,0.0,84.93630346185927,0.11114152848364377,1.981865333333333,2.687639951705933
25,2024-01-09 01:00:00,27.272727272727277,-8.422514454049965,1.5246263330400414,4.532101666666667,2.813676357269287
26,2024-01-09 02:00:00,0.0,8.76568894751992,1.3233275654571903,5.0739385,6.436491012573242
27,2024-01-09 03:00:00,0.0,14.70665075676566,1.0334658950291709,5.727605000000001,6.690220832824707
